,Apple,IBM,Microsoft,Google,Amazon,Tesla,Nvidia,Walmart,Johnson & Johnson,Verizon,AT&T,Pfizer
2014-04-23,17.7252,116.4549,33.5112,26.9196,16.45,14.04,0.4548,20.887,74.1881,27.5645,89.1639,18.9817
2014-04-24,17.7459,115.0756,34.3433,26.5464,16.8995,13.8333,0.4562,20.9298,73.8265,26.8391,88.2158,18.7981
2014-04-25,17.8795,114.9123,33.5617,26.0787,15.115,13.3027,0.4437,21.0126,73.6716,26.7172,87.7953,18.7896
2014-04-28,18.615,116.6969,34.419,26.009,14.7875,13.28,0.4418,21.32,74.8816,27.0712,89.0484,19.6612
2014-04-29,18.4719,117.9673,34.0828,26.5574,14.9435,13.7,0.4444,21.2933,74.5422,27.1235,88.628,19.4775
2014-04-30,18.5117,118.8445,33.9399,26.7271,15.243,13.9067,0.4399,21.3147,74.7341,27.1176,89.3865,19.1776
2014-05-01,18.5048,117.078,33.5869,26.7967,15.4125,13.8167,0.4394,21.2879,74.1733,27.3962,90.2769,19.0613
2014-05-02,18.5355,115.6685,33.4104,26.4743,15.4,14.0867,0.4378,21.1463,73.2732,27.2627,90.4418,18.9021
2014-05-05,18.8429,115.487,33.1162,26.6428,15.5025,14.4467,0.4414,20.9939,73.7823,27.4484,90.2274,18.3757
2014-05-06,18.6097,115.0635,32.8304,26.012,14.84,13.8173,0.4344,20.8748,73.5451,27.5529,89.8647,18.0268
2014-05-07,18.522,115.1845,33.0742,25.7752,14.564,12.406,0.4347,20.9645,74.4537,27.8604,89.8894,17.9722
2014-05-08,18.4616,114.9472,33.2002,25.8747,14.4,11.8427,0.4311,21.1689,74.1438,28.0984,89.1639,18.0216
2014-05-09,18.4411,115.6591,33.2339,26.2041,14.674,12.1333,0.4269,21.298,74.3725,28.0287,89.8399,17.9475
2014-05-12,18.6618,117.2229,33.7045,26.7913,15.168,12.332,0.4401,21.2845,74.1659,27.8953,90.2769,17.9845
2014-05-13,18.6791,116.8517,34.1665,26.9465,15.14,12.6793,0.433,21.2819,74.498,27.785,91.8268,18.0339
2014-05-14,18.7106,114.9229,34.1411,26.5885,14.9195,12.73,0.4287,21.1958,74.3725,27.8546,91.0436,17.9907
2014-05-15,18.5372,113.4564,33.4979,26.3275,14.745,12.5787,0.4257,20.7225,74.2914,28.3073,89.8647,18.0339
2014-05-16,18.817,113.8276,33.6926,26.2952,14.9065,12.77,0.4259,20.7279,74.2102,28.551,90.3676,18.0339
2014-05-19,19.016,113.639,33.5995,26.7972,14.832,13.1333,0.4404,20.6069,74.3725,28.5394,89.5431,18.1266
2014-05-20,18.9861,112.6654,33.5149,26.8644,15.0415,12.9793,0.4341,20.3541,73.9372,28.2318,88.7681,18.0339
2014-05-21,19.084,113.426,34.1411,27.3525,15.2505,13.326,0.4331,20.346,74.6234,28.5336,89.0897,18.2624
2014-05-22,19.0947,112.9818,33.9634,27.6387,15.2565,13.6507,0.4384,20.2734,74.8882,28.6961,90.046,18.3242
2014-05-23,19.3296,113.0548,33.8872,28.0143,15.61,13.826,0.4405,20.3326,75.0368,28.8876,90.483,18.2007
2014-05-27,19.7162,112.3308,33.9042,28.599,15.549,14.078,0.4484,20.3326,74.8956,28.7657,91.3651,18.2933
2014-05-28,19.6643,111.4728,33.8365,28.385,15.5485,14.0,0.4531,20.2869,74.5761,28.8644,90.6149,18.2995
2014-05-29,20.0455,111.8318,34.1073,28.3875,15.689,14.0,0.451,20.4321,74.7767,28.8528,92.2391,18.281
2014-05-30,19.9448,112.1786,34.6659,28.3676,15.6105,13.8227,0.4523,20.6445,75.3785,28.9862,93.2531,18.2995
2014-06-02,19.7839,112.8419,34.5135,28.0641,15.4275,13.5667,0.4507,20.6445,75.906,29.1081,94.1353,18.3489
2014-06-03,20.0931,112.3673,34.1242,27.5914,15.3225,13.64,0.4459,20.6392,76.0323,28.638,94.564,18.2501
2014-06-04,20.3037,112.203,34.1242,27.5267,15.37,13.5433,0.4502,20.6284,76.2849,28.522,94.0832,18.2686
2014-06-05,20.3695,113.1461,34.9367,28.1104,16.195,13.8,0.4513,20.7924,76.6564,28.6322,94.0693,18.3674
2014-06-06,20.3273,113.3591,35.106,28.1651,16.494,13.858,0.4529,20.7629,76.6861,28.6555,94.935,18.176
2014-06-09,20.6655,113.3104,34.9113,28.3612,16.3725,13.602,0.4534,20.7629,76.6861,28.7425,94.869,18.1142
2014-06-10,20.7801,112.2638,34.7928,28.2781,16.615,13.484,0.4557,20.6203,77.2284,28.6613,93.4098,18.1513
2014-06-11,20.6853,111.0651,34.6151,28.2383,16.72,13.6333,0.4614,20.5181,76.8198,28.6729,94.0363,18.1883
2014-06-12,20.2864,110.268,34.5812,27.7655,16.305,13.5627,0.4695,20.3649,76.2923,28.4582,94.2012,18.1883
2014-06-13,20.1608,111.0408,34.8351,27.8775,16.335,13.7227,0.4655,20.2438,76.1512,28.5278,94.1848,18.2316
2014-06-16,20.3349,111.2294,35.0721,27.4819,16.381,15.0,0.466,20.26,76.114,28.609,94.1848,18.3118
2014-06-17,20.2754,110.8643,35.2075,27.467,16.2925,15.3667,0.4667,20.2116,75.8094,28.5336,94.5722,18.2068
2014-06-18,20.3195,111.485,35.2075,27.8979,16.8125,15.12,0.4663,20.3111,76.3146,28.6322,94.9762,18.3118
2014-06-19,20.1674,110.913,35.1144,28.0855,16.35,15.0687,0.4555,20.3568,77.0798,28.6961,97.0786,18.2563
